device,status,n_samples,dev_median_ms,dev_iqr_ms,dev_skew,dev_timeout_ratio,dev_p95_ms,host_median_ms,host_iqr_ms,host_skew,host_timeout_ratio,lag_jitter_std_ms,lag_jitter_p95_ms,lag_jitter_n_excl
CB100-2597693,Healthy,8039,202.0,2.0,1.071,0.0,206.0,190.0,62.0,0.074,0.3452,42.55,92.0,6
CB100-2595836,At-Risk,9169,203.0,2.0,1.014,0.0,206.0,189.0,61.0,0.048,0.3607,37.222,74.0,0
CB100-2559391,Healthy,8399,204.0,2.0,1.009,0.0,208.0,192.0,64.0,0.065,0.2849,54.171,100.0,26
CB100-2599429,Failing,9266,201.0,1.0,0.939,0.0,203.0,188.0,61.0,0.08,0.3534,36.929,74.0,0
CB100-2598364,Healthy,8427,204.0,1.0,0.908,0.0,206.0,191.0,62.0,0.132,0.3059,47.312,96.0,13
CB100-2600577,Failing,9046,202.0,1.0,0.901,0.0,205.0,189.0,61.0,0.069,0.3557,39.898,85.0,4
CB100-2598888,Healthy,8484,201.0,1.0,0.831,0.0,203.0,190.0,64.0,0.076,0.345,51.725,101.0,20
CB100-2599296,Healthy,5935,203.0,2.0,0.729,0.0,205.0,189.0,61.0,0.086,0.3931,49.986,98.0,14
CB100-2595713,Healthy,6194,205.0,1.0,0.7,0.0,208.0,193.0,61.0,0.001,0.1831,49.605,95.0,21
CB100-2599476,Healthy,6238,203.0,2.0,0.698,0.0,205.0,190.0,61.0,0.08,0.392,52.429,99.0,15
CB100-2596488,Healthy,6257,203.0,1.0,0.69,0.0,205.0,189.0,62.0,0.058,0.4016,58.067,108.0,21
CB100-2602050,Healthy,6136,206.0,1.0,0.683,0.0,208.0,194.0,63.0,0.16,0.1961,58.307,116.4,43
CB100-2597697,Healthy,6272,202.0,1.0,0.666,0.0,205.0,188.0,61.0,0.139,0.4077,51.994,99.0,18
CB100-2598385,Failing,9159,203.0,2.0,0.666,0.0,205.0,190.0,61.0,0.055,0.338,39.453,84.0,3
CB100-2597626,Healthy,5250,203.0,1.0,0.65,0.0,205.0,186.0,61.0,0.04,0.461,61.697,142.0,30
CB100-2598507,Healthy,5472,203.0,2.0,0.65,0.0,205.0,183.0,60.0,0.074,0.4607,50.038,97.0,15
CB100-2597622,Healthy,6177,204.0,1.0,0.542,0.0,206.0,191.0,62.0,0.074,0.3602,58.116,133.0,30
CB100-2599377,Healthy,4844,200.0,1.0,0.448,0.0,202.0,182.0,61.0,0.145,0.4358,51.988,101.0,19
CB100-2561464,Healthy,5503,206.0,1.0,0.443,0.0,209.0,228.0,63.0,0.26,0.1425,66.934,150.0,100
CB100-2599267,New,2113978,201.0,0.0,0.194,0.0,202.0,196.0,63.0,0.298,0.1576,40.415,75.0,1522
CB100-2597560,Healthy,3260,200.0,1.0,0.068,0.0,202.0,182.0,61.0,0.088,0.4325,59.403,135.7,13
CB100-2598608,New,2175013,201.0,1.0,-0.572,0.0,201.0,196.0,63.0,0.293,0.162,40.51,75.0,1478
CB100-2597625,New,2089968,206.0,0.0,-1.075,0.0,206.0,207.0,64.0,0.226,0.0577,39.139,69.0,1523
