device_uid,bin0_start_c,bin0_end_c,bin1_start_c,bin1_end_c,n0,n1,median0_ms,median1_ms,median_diff_ms,p_value,q_value_bh,significant
CB100-2559391,20.0,25.0,25.0,30.0,4040,2049,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2559391,25.0,30.0,30.0,35.0,2049,1104,204.0,206.0,2.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2559391,30.0,35.0,35.0,40.0,1104,656,206.0,207.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2559391,35.0,40.0,40.0,45.0,656,551,207.0,208.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2561464,20.0,25.0,25.0,30.0,2107,2026,206.0,207.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2561464,25.0,30.0,30.0,35.0,2026,983,207.0,208.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2561464,30.0,35.0,35.0,40.0,983,391,208.0,209.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2595713,20.0,25.0,25.0,30.0,2200,2088,205.0,206.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2595713,25.0,30.0,30.0,35.0,2088,1056,206.0,207.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2595713,30.0,35.0,35.0,40.0,1056,611,207.0,208.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2595713,35.0,40.0,40.0,45.0,611,239,208.0,208.0,0.0,1.0,1.0,False
CB100-2595836,20.0,25.0,25.0,30.0,3713,2710,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2595836,25.0,30.0,30.0,35.0,2710,1478,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2595836,30.0,35.0,35.0,40.0,1478,747,204.0,205.0,1.0,0.004997501249375313,0.005724410522011722,True
CB100-2595836,35.0,40.0,40.0,45.0,747,522,205.0,206.0,1.0,0.0014992503748125937,0.0017491254372813594,True
CB100-2596488,20.0,25.0,25.0,30.0,3127,1843,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2596488,25.0,30.0,30.0,35.0,1843,874,204.0,205.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2596488,30.0,35.0,35.0,40.0,874,415,205.0,206.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597560,25.0,30.0,30.0,35.0,1659,995,200.0,201.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597560,30.0,35.0,35.0,40.0,995,606,201.0,202.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597622,20.0,25.0,25.0,30.0,3468,1926,204.0,205.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597622,25.0,30.0,30.0,35.0,1926,784,205.0,206.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597626,20.0,25.0,25.0,30.0,2494,1768,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597626,25.0,30.0,30.0,35.0,1768,772,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597626,30.0,35.0,35.0,40.0,772,216,204.0,205.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597693,20.0,25.0,25.0,30.0,4623,1363,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597693,25.0,30.0,30.0,35.0,1363,987,203.0,204.0,1.0,0.005497251374312844,0.006184407796101949,True
CB100-2597693,30.0,35.0,35.0,40.0,987,595,204.0,205.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597693,35.0,40.0,40.0,45.0,595,471,205.0,207.0,2.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597697,20.0,25.0,25.0,30.0,2734,2035,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597697,25.0,30.0,30.0,35.0,2035,996,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2597697,30.0,35.0,35.0,40.0,996,508,204.0,205.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2598364,20.0,25.0,25.0,30.0,3655,2644,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2598364,25.0,30.0,30.0,35.0,2644,1262,204.0,205.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2598364,30.0,35.0,35.0,40.0,1262,866,205.0,206.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2598385,20.0,25.0,25.0,30.0,5233,2444,203.0,203.0,0.0,1.0,1.0,False
CB100-2598385,25.0,30.0,30.0,35.0,2444,1090,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2598385,30.0,35.0,35.0,40.0,1090,393,204.0,205.0,1.0,0.041979010494752625,0.045597890709817505,True
CB100-2598507,20.0,25.0,25.0,30.0,2489,1663,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2598507,25.0,30.0,30.0,35.0,1663,911,203.0,204.0,1.0,0.0014992503748125937,0.0017491254372813594,True
CB100-2598507,30.0,35.0,35.0,40.0,911,409,204.0,205.0,1.0,0.06446776611694154,0.06883846212486977,False
CB100-2598888,20.0,25.0,25.0,30.0,5289,1985,201.0,202.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2598888,25.0,30.0,30.0,35.0,1985,876,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2598888,30.0,35.0,35.0,40.0,876,335,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599296,20.0,25.0,25.0,30.0,2296,1888,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599296,25.0,30.0,30.0,35.0,1888,1069,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599296,30.0,35.0,35.0,40.0,1069,682,204.0,205.0,1.0,0.012993503248375811,0.014361240432415372,True
CB100-2599377,20.0,25.0,25.0,30.0,3129,989,200.0,201.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599377,25.0,30.0,30.0,35.0,989,726,201.0,202.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599429,20.0,25.0,25.0,30.0,4891,2453,200.0,201.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599429,25.0,30.0,30.0,35.0,2453,1200,201.0,202.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599429,30.0,35.0,35.0,40.0,1200,723,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599476,20.0,25.0,25.0,30.0,1908,2166,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599476,25.0,30.0,30.0,35.0,2166,1118,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599476,30.0,35.0,35.0,40.0,1118,663,204.0,205.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2599476,35.0,40.0,40.0,45.0,663,384,205.0,206.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2600577,20.0,25.0,25.0,30.0,4286,2457,202.0,203.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2600577,25.0,30.0,30.0,35.0,2457,1377,203.0,204.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2600577,30.0,35.0,35.0,40.0,1377,591,204.0,205.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2600577,35.0,40.0,40.0,45.0,591,336,205.0,206.0,1.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2602050,20.0,25.0,25.0,30.0,2882,1994,206.0,206.0,0.0,1.0,1.0,False
CB100-2602050,25.0,30.0,30.0,35.0,1994,885,206.0,208.0,2.0,0.0004997501249375312,0.0006054664975204705,True
CB100-2602050,30.0,35.0,35.0,40.0,885,378,208.0,208.0,0.0,1.0,1.0,False
