device_uid,temp_bin,n,median,mean
CB100-2559391,20.0,4040,203.0,203.4089108910891
CB100-2559391,25.0,2049,204.0,204.41386041971694
CB100-2559391,30.0,1104,206.0,205.5625
CB100-2559391,35.0,656,207.0,206.6920731707317
CB100-2559391,40.0,551,208.0,207.9038112522686
CB100-2561464,20.0,2107,206.0,205.61651637399146
CB100-2561464,25.0,2026,207.0,206.5320829220138
CB100-2561464,30.0,983,208.0,207.69888097660223
CB100-2561464,35.0,391,209.0,208.63427109974424
CB100-2595713,20.0,2200,205.0,204.76545454545453
CB100-2595713,25.0,2088,206.0,205.51580459770116
CB100-2595713,30.0,1056,207.0,206.57386363636363
CB100-2595713,35.0,611,208.0,207.59410801963995
CB100-2595713,40.0,239,208.0,208.255230125523
CB100-2595836,20.0,3713,202.0,202.278750336655
CB100-2595836,25.0,2710,203.0,203.05535055350555
CB100-2595836,30.0,1478,204.0,204.1400541271989
CB100-2595836,35.0,747,205.0,205.20214190093708
CB100-2595836,40.0,522,206.0,206.35249042145594
CB100-2596488,20.0,3127,203.0,202.7994883274704
CB100-2596488,25.0,1843,204.0,203.65056972327727
CB100-2596488,30.0,874,205.0,204.68306636155606
CB100-2596488,35.0,415,206.0,205.53493975903615
CB100-2597560,25.0,1659,200.0,199.69077757685352
CB100-2597560,30.0,995,201.0,200.88140703517587
CB100-2597560,35.0,606,202.0,201.93399339933993
CB100-2597622,20.0,3468,204.0,203.65657439446366
CB100-2597622,25.0,1926,205.0,204.54620976116303
CB100-2597622,30.0,784,206.0,205.68239795918367
CB100-2597626,20.0,2494,202.0,201.98757016840418
CB100-2597626,25.0,1768,203.0,202.9643665158371
CB100-2597626,30.0,772,204.0,204.15414507772022
CB100-2597626,35.0,216,205.0,204.9814814814815
CB100-2597693,20.0,4623,202.0,201.91347609777202
CB100-2597693,25.0,1363,203.0,203.10124724871608
CB100-2597693,30.0,987,204.0,204.28166160081054
CB100-2597693,35.0,595,205.0,205.4453781512605
CB100-2597693,40.0,471,207.0,206.73036093418258
CB100-2597697,20.0,2734,202.0,201.63057790782736
CB100-2597697,25.0,2035,203.0,202.54840294840295
CB100-2597697,30.0,996,204.0,203.74598393574297
CB100-2597697,35.0,508,205.0,204.80905511811022
CB100-2598364,20.0,3655,203.0,203.0265389876881
CB100-2598364,25.0,2644,204.0,203.80824508320725
CB100-2598364,30.0,1262,205.0,204.81854199683042
CB100-2598364,35.0,866,206.0,205.94688221709006
CB100-2598385,20.0,5233,203.0,202.55111790559909
CB100-2598385,25.0,2444,203.0,203.42225859247137
CB100-2598385,30.0,1090,204.0,204.37798165137616
CB100-2598385,35.0,393,205.0,205.15267175572518
CB100-2598507,20.0,2489,202.0,202.41582965046203
CB100-2598507,25.0,1663,203.0,203.2736019242333
CB100-2598507,30.0,911,204.0,204.30515916575192
CB100-2598507,35.0,409,205.0,205.28606356968214
CB100-2598888,20.0,5289,201.0,200.9727736812252
CB100-2598888,25.0,1985,202.0,201.9889168765743
CB100-2598888,30.0,876,203.0,203.03310502283105
CB100-2598888,35.0,335,204.0,203.8507462686567
CB100-2599296,20.0,2296,202.0,202.33580139372822
CB100-2599296,25.0,1888,203.0,203.01430084745763
CB100-2599296,30.0,1069,204.0,204.07764265668848
CB100-2599296,35.0,682,205.0,205.19208211143695
CB100-2599377,20.0,3129,200.0,199.64525407478428
CB100-2599377,25.0,989,201.0,200.77755308392315
CB100-2599377,30.0,726,202.0,201.57300275482095
CB100-2599429,20.0,4891,200.0,200.20568390922102
CB100-2599429,25.0,2453,201.0,201.06685690990625
CB100-2599429,30.0,1200,202.0,202.08916666666667
CB100-2599429,35.0,723,203.0,203.09128630705393
CB100-2599476,20.0,1908,202.0,202.27777777777777
CB100-2599476,25.0,2166,203.0,202.91412742382272
CB100-2599476,30.0,1118,204.0,203.8613595706619
CB100-2599476,35.0,663,205.0,204.80090497737555
CB100-2599476,40.0,384,206.0,205.54947916666666
CB100-2600577,20.0,4286,202.0,201.7797480167989
CB100-2600577,25.0,2457,203.0,202.63247863247864
CB100-2600577,30.0,1377,204.0,203.6644880174292
CB100-2600577,35.0,591,205.0,204.70896785109983
CB100-2600577,40.0,336,206.0,205.55357142857142
CB100-2602050,20.0,2882,206.0,205.59264399722414
CB100-2602050,25.0,1994,206.0,206.44884653961887
CB100-2602050,30.0,885,208.0,207.59209039548023
CB100-2602050,35.0,378,208.0,208.4814814814815
