device_uid,n_readings,lag_offset_seconds,drift_s_per_hr,lag_seconds_median,temp_c_median
CB100-2559391,8403,-3600.0,59.956806054672384,12.36700000000019,25.243333333333336
CB100-2561464,5509,-3600.0,60.83776761871033,9.521000000000186,26.262333333333334
CB100-2595713,6196,-3600.0,54.95465771149168,8.42450000000008,26.74
CB100-2595836,9175,-3600.0,57.78067032753246,6.764000000000124,26.073333333333334
CB100-2596488,6261,-3600.0,56.94165257791321,9.985000000000127,25.149
CB100-2597560,3262,-3600.0,61.443878240231584,6.167000000000144,29.903416666666665
CB100-2597622,6180,-3600.0,67.43172390791378,12.167000000000144,24.07
CB100-2597626,5253,-3600.0,71.42557296812458,10.371999999999844,25.238333333333333
CB100-2597693,8044,-3600.0,73.0066429604508,16.968500000000176,24.032666666666668
CB100-2597697,6275,-3600.0,66.56946611287552,11.246999999999844,25.8
CB100-2598364,8430,-3600.0,58.68329615967671,13.087500000000091,25.679166666666667
CB100-2598385,9165,-3600.0,62.8208219819453,10.054999999999836,24.311500000000002
CB100-2598507,5474,-3600.0,64.30141954136663,10.254000000000133,25.8475
CB100-2598888,8488,-3600.0,75.50340359844178,18.428499999999985,23.666666666666668
CB100-2599296,5938,-3600.0,57.85013138312511,10.775499999999965,26.04
CB100-2599377,4847,-3600.0,74.75099296578857,14.11700000000019,23.592333333333336
CB100-2599429,9272,-3600.0,61.526429107455286,8.939000000000078,24.72
CB100-2599476,6241,-3600.0,72.0433699925652,12.641999999999825,27.36
CB100-2600577,9054,-3600.0,60.97947055182045,8.154500000000098,25.308
CB100-2602050,6141,-3600.0,52.8016559933871,9.271000000000186,25.01
